True,Country,Variable,Year,Unit,Value
107,Poland,Public water supply,2010,Cubic metres,1541.0
108,Poland,Public water supply,2011,Cubic metres,1545.0
109,Poland,Public water supply,2012,Cubic metres,1539.0
110,Poland,Public water supply,2013,Cubic metres,1522.0
111,Portugal,Public water supply,2005,Cubic metres,549.0
112,Portugal,Public water supply,2006,Cubic metres,577.0
113,Portugal,Public water supply,2007,Cubic metres,661.0
114,Portugal,Public water supply,2008,Cubic metres,671.0
115,Portugal,Public water supply,2009,Cubic metres,718.0
116,Spain,Total gross abstraction non-freshwater,2005,Cubic metres,169.0
117,Spain,Total gross abstraction non-freshwater,2006,Cubic metres,181.0
118,Spain,Total gross abstraction non-freshwater,2007,Cubic metres,259.0
119,Spain,Total gross abstraction non-freshwater,2008,Cubic metres,244.0
120,Spain,Total gross abstraction non-freshwater,2009,Cubic metres,231.0
121,Spain,Total gross abstraction non-freshwater,2010,Cubic metres,242.0
122,Spain,Total gross abstraction non-freshwater,2011,Cubic metres,223.0
123,Spain,Total gross abstraction non-freshwater,2012,Cubic metres,217.0
124,Spain,Total water made available for use,2005,Cubic metres,29480.0
125,Spain,Total water made available for use,2006,Cubic metres,28297.0
126,Spain,Total water made available for use,2007,Cubic metres,28151.0
127,Spain,Total water made available for use,2008,Cubic metres,27458.0
128,Spain,Total water made available for use,2009,Cubic metres,27498.0
129,Spain,Total water made available for use,2010,Cubic metres,28157.0
130,Spain,Total water made available for use,2011,Cubic metres,28200.0
131,Spain,Total water made available for use,2012,Cubic metres,28386.0
132,Spain,Public water supply,2005,Cubic metres,3864.0
133,Spain,Public water supply,2006,Cubic metres,3783.0
134,Spain,Public water supply,2007,Cubic metres,4053.0
135,Spain,Public water supply,2008,Cubic metres,3963.0
136,Spain,Public water supply,2009,Cubic metres,3861.0
137,Spain,Public water supply,2010,Cubic metres,3697.0
138,Spain,Public water supply,2011,Cubic metres,3555.0
139,Spain,Public water supply,2012,Cubic metres,3576.0
140,Sweden,Total gross abstraction non-freshwater,2005,Cubic metres,11832.0
141,Sweden,Total gross abstraction non-freshwater,2006,Cubic metres,11832.0
142,Sweden,Total gross abstraction non-freshwater,2007,Cubic metres,11832.0
143,Sweden,Total gross abstraction non-freshwater,2010,Cubic metres,11800.0
144,Sweden,Public water supply,2005,Cubic metres,737.0
145,Sweden,Public water supply,2006,Cubic metres,737.0
146,Sweden,Public water supply,2007,Cubic metres,737.0
147,Sweden,Public water supply,2010,Cubic metres,691.0
148,Switzerland,Public water supply,2005,Cubic metres,1004.0
149,Switzerland,Public water supply,2006,Cubic metres,981.0
150,Switzerland,Public water supply,2007,Cubic metres,960.0
151,Switzerland,Public water supply,2008,Cubic metres,980.0
152,Switzerland,Public water supply,2009,Cubic metres,967.0
153,Switzerland,Public water supply,2010,Cubic metres,941.0
154,Switzerland,Public water supply,2011,Cubic metres,954.0
155,Switzerland,Public water supply,2012,Cubic metres,721.0
156,Turkey,Public water supply,2006,Cubic metres,2375.0
157,Turkey,Public water supply,2008,Cubic metres,2762.0
158,Turkey,Public water supply,2010,Cubic metres,2987.0
159,Turkey,Public water supply,2012,Cubic metres,3287.0
160,United Kingdom,Public water supply,2005,Cubic metres,6230.0
161,United Kingdom,Public water supply,2006,Cubic metres,6221.0
162,United Kingdom,Public water supply,2007,Cubic metres,6109.0
163,United Kingdom,Public water supply,2011,Cubic metres,4167.0
164,United States,Total gross abstraction non-freshwater,2005,Cubic metres,84299.13
165,Chile,Public water supply,2005,Cubic metres,934.690002441
