"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,346,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,266,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,275,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2014","2014","M3","Cubic metres","6","Millions",,,280,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2015","2015","M3","Cubic metres","6","Millions",,,272,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2016","2016","M3","Cubic metres","6","Millions",,,281.542,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2009","2009","M3CAP","Cubic metres per capita","0","Units",,,672.2008,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2010","2010","M3CAP","Cubic metres per capita","0","Units",,,625.7667,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2011","2011","M3CAP","Cubic metres per capita","0","Units",,,609.525,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2012","2012","M3CAP","Cubic metres per capita","0","Units",,,716.4625,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2013","2013","M3CAP","Cubic metres per capita","0","Units",,,869.6487,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2014","2014","M3CAP","Cubic metres per capita","0","Units",,,824.8892,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2015","2015","M3CAP","Cubic metres per capita","0","Units",,,765.6445,,
"AUS","Australia","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2016","2016","M3CAP","Cubic metres per capita","0","Units",,,696.9172,,
"AUT","Austria","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,608,,
"AUT","Austria","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,685,,
"AUT","Austria","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2010","2010","M3","Cubic metres","6","Millions",,,77,,
"AUT","Austria","TOTAL_ABSTRACT","Total freshwater","IRRIG","Irrigation","2010","2010","M3","Cubic metres","6","Millions",,,18,,
"AUT","Austria","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,1657,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,1,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,0,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,0,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,0,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,0,,
"AUT","Austria","SURFACE","Fresh surface water","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,0,,
"AUT","Austria","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,1260,,
"AUT","Austria","GROUND","Fresh ground water","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,607,,
"AUT","Austria","GROUND","Fresh ground water","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,685,,
"AUT","Austria","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,397,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2008","2008","M3","Cubic metres","6","Millions",,,6136.04,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2009","2009","M3","Cubic metres","6","Millions",,,6005.4,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2010","2010","M3","Cubic metres","6","Millions",,,5988.37988,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2011","2011","M3","Cubic metres","6","Millions",,,5296.6001,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2012","2012","M3","Cubic metres","6","Millions",,,5300.56006,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2013","2013","M3","Cubic metres","6","Millions",,,4829.04004,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,706.3,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,712.52,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,743.04999,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,735.28998,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,724.85999,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,733.62,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,720.79999,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2008","2008","M3","Cubic metres","6","Millions",,,39.06253,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2009","2009","M3","Cubic metres","6","Millions",,,40.16276,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2010","2010","M3","Cubic metres","6","Millions",,,37.48,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2011","2011","M3","Cubic metres","6","Millions",,,36.98,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2012","2012","M3","Cubic metres","6","Millions",,,33.12,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2013","2013","M3","Cubic metres","6","Millions",,,35.87,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2014","2014","M3","Cubic metres","6","Millions",,,37.25,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,1217.57798,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,1089.35603,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2010","2010","M3","Cubic metres","6","Millions",,,1231.85999,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,1123.45996,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,1121.18005,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,1024.70996,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2008","2008","M3CAP","Cubic metres per capita","0","Units",,,569.2496,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2009","2009","M3CAP","Cubic metres per capita","0","Units",,,552.9686,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2010","2010","M3CAP","Cubic metres per capita","0","Units",,,547.447,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2011","2011","M3CAP","Cubic metres per capita","0","Units",,,480.9371,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2012","2012","M3CAP","Cubic metres per capita","0","Units",,,478.2367,,
"BEL","Belgium","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2013","2013","M3CAP","Cubic metres per capita","0","Units",,,433.0391,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2008","2008","M3","Cubic metres","6","Millions",,,5516.9,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2009","2009","M3","Cubic metres","6","Millions",,,5392.8,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2010","2010","M3","Cubic metres","6","Millions",,,5340.71964,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2011","2011","M3","Cubic metres","6","Millions",,,4657.81,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2012","2012","M3","Cubic metres","6","Millions",,,4664.46,,
"BEL","Belgium","SURFACE","Fresh surface water","TOTAL","Total gross abstraction","2013","2013","M3","Cubic metres","6","Millions",,,4189.89,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,253.09,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,254.92,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,268.77,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,265.38,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,261.39,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,263.3,,
"BEL","Belgium","SURFACE","Fresh surface water","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,260.08,,
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2008","2008","M3","Cubic metres","6","Millions",,,3.32327,,
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2009","2009","M3","Cubic metres","6","Millions",,,3.37,,
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2010","2010","M3","Cubic metres","6","Millions",,,0.54,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2011","2011","M3","Cubic metres","6","Millions",,,0.75,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2012","2012","M3","Cubic metres","6","Millions",,,1.1,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2013","2013","M3","Cubic metres","6","Millions",,,1.43,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","AGRICULTURE","Agriculture, forestry, fishing","2014","2014","M3","Cubic metres","6","Millions",,,0.98,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,1145.58313,,
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,1022.98322,,
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2010","2010","M3","Cubic metres","6","Millions",,,1167.03,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,1060.72,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,1058.89,"E","Estimated value"
"BEL","Belgium","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,966.73,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2008","2008","M3","Cubic metres","6","Millions",,,619.14,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2009","2009","M3","Cubic metres","6","Millions",,,612.5,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2010","2010","M3","Cubic metres","6","Millions",,,647.66,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2011","2011","M3","Cubic metres","6","Millions",,,638.79,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2012","2012","M3","Cubic metres","6","Millions",,,636.1,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2013","2013","M3","Cubic metres","6","Millions",,,639.15,,
"BEL","Belgium","GROUND","Fresh ground water","TOTAL","Total gross abstraction","2014","2014","M3","Cubic metres","6","Millions",,,631.65,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,453.20517,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,457.59662,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,474.28,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,469.91,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,463.47,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,470.32,,
"BEL","Belgium","GROUND","Fresh ground water","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,460.72,,
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2008","2008","M3","Cubic metres","6","Millions",,,35.73926,,
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2009","2009","M3","Cubic metres","6","Millions",,,36.79276,,
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2010","2010","M3","Cubic metres","6","Millions",,,36.94,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2011","2011","M3","Cubic metres","6","Millions",,,36.23,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2012","2012","M3","Cubic metres","6","Millions",,,32.02,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2013","2013","M3","Cubic metres","6","Millions",,,34.44,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","AGRICULTURE","Agriculture, forestry, fishing","2014","2014","M3","Cubic metres","6","Millions",,,36.27,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2008","2008","M3","Cubic metres","6","Millions",,,71.99485,,
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,66.37282,,
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2010","2010","M3","Cubic metres","6","Millions",,,64.83,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,62.74,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,62.29,"E","Estimated value"
"BEL","Belgium","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,57.98,"E","Estimated value"
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2009","2009","M3","Cubic metres","6","Millions",,,31513.2,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2011","2011","M3","Cubic metres","6","Millions",,,33335.5,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2013","2013","M3","Cubic metres","6","Millions",,,35850.3,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,5123.7,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,5032.8,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,5020.8,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2009","2009","M3","Cubic metres","6","Millions",,,2366.5,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2011","2011","M3","Cubic metres","6","Millions",,,1809,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2013","2013","M3","Cubic metres","6","Millions",,,2007.5,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","IRRIG","Irrigation","2009","2009","M3","Cubic metres","6","Millions",,,2086.1,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","IRRIG","Irrigation","2011","2011","M3","Cubic metres","6","Millions",,,1540.5,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","IRRIG","Irrigation","2013","2013","M3","Cubic metres","6","Millions",,,1738.2,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,3113.1,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,3056.4,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,3200.2,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2009","2009","M3CAP","Cubic metres per capita","0","Units",,,932.6238,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2011","2011","M3CAP","Cubic metres per capita","0","Units",,,965.1659,,
"CAN","Canada","TOTAL_ABSTRACT","Total freshwater","PC","Gross abstractions per capita","2013","2013","M3CAP","Cubic metres per capita","0","Units",,,1016.871,,
"CAN","Canada","SURFACE","Fresh surface water","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,4542.7,,
"CAN","Canada","SURFACE","Fresh surface water","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,4436.9,,
"CAN","Canada","SURFACE","Fresh surface water","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,4426.5,,
"CAN","Canada","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,2982.6,,
"CAN","Canada","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,2923,,
"CAN","Canada","SURFACE","Fresh surface water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,3062.6,,
"CAN","Canada","GROUND","Fresh ground water","PUBLIC","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,581,,
"CAN","Canada","GROUND","Fresh ground water","PUBLIC","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,595.9,,
"CAN","Canada","GROUND","Fresh ground water","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,594.3,,
"CAN","Canada","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2009","2009","M3","Cubic metres","6","Millions",,,130.5,,
"CAN","Canada","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,133.4,,
"CAN","Canada","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,137.6,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2008","2008","M3","Cubic metres","6","Millions",,,1988,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2009","2009","M3","Cubic metres","6","Millions",,,1948,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","TOTAL","Total gross abstraction","2010","2010","M3","Cubic metres","6","Millions",,,1950,,
