True,Country,Variable,Year,Unit,Value
114,Chile,Public water supply,2008,Cubic metres,979.950500488
115,Chile,Public water supply,2009,Cubic metres,987.9299926760001
116,Chile,Public water supply,2010,Cubic metres,1009.655883789
117,Chile,Public water supply,2011,Cubic metres,1064.390014648
118,Estonia,Public water supply,2007,Cubic metres,44.0
119,Estonia,Public water supply,2008,Cubic metres,40.0
120,Estonia,Public water supply,2009,Cubic metres,47.0
121,Estonia,Public water supply,2011,Cubic metres,48.0
122,Israel,Public water supply,2005,Cubic metres,1961.0
123,Israel,Public water supply,2006,Cubic metres,2152.776663303
124,Israel,Public water supply,2007,Cubic metres,2279.630002441
125,Israel,Public water supply,2008,Cubic metres,2204.629998264
126,Israel,Public water supply,2009,Cubic metres,1811.0
127,Israel,Public water supply,2010,Cubic metres,1919.0
128,Israel,Public water supply,2011,Cubic metres,1831.0
129,Israel,Public water supply,2012,Cubic metres,1902.0
130,Slovenia,Public water supply,2005,Cubic metres,119.0
131,Slovenia,Public water supply,2006,Cubic metres,121.0
132,Slovenia,Public water supply,2007,Cubic metres,114.0
133,Slovenia,Public water supply,2008,Cubic metres,113.0
134,Slovenia,Public water supply,2009,Cubic metres,117.0
135,Slovenia,Public water supply,2010,Cubic metres,115.0
136,Slovenia,Public water supply,2011,Cubic metres,116.0
137,Slovenia,Public water supply,2012,Cubic metres,116.0
138,Slovenia,Public water supply,2013,Cubic metres,108.0
