,True,Country,Variable,Year,Unit,Value,recycled,percentofrecycledwaste
579,9529,Switzerland,Municipal waste generated,1991,Tonnes,4131.2,25276.0,611.83
580,9530,Switzerland,Municipal waste generated,1992,Tonnes,4096.7,26780.0,653.7
581,9531,Switzerland,Municipal waste generated,1993,Tonnes,4140.2,25845.0,624.25
582,9532,Switzerland,Municipal waste generated,1994,Tonnes,4161.5,25563.0,614.27
583,9533,Switzerland,Municipal waste generated,1995,Tonnes,4240.0,28010.0,660.61
584,9534,Switzerland,Municipal waste generated,1996,Tonnes,4280.0,27584.0,644.49
585,9535,Switzerland,Municipal waste generated,1997,Tonnes,4294.4,31584.0,735.47
586,9536,Switzerland,Municipal waste generated,1998,Tonnes,4369.4,28910.0,661.65
587,9537,Switzerland,Municipal waste generated,1999,Tonnes,4555.2,29909.0,656.59
588,9538,Switzerland,Municipal waste generated,2000,Tonnes,4731.0,31193.0,659.33
589,9539,Switzerland,Municipal waste generated,2001,Tonnes,4794.0,31825.0,663.85
590,9540,Switzerland,Municipal waste generated,2002,Tonnes,4936.0,33498.0,678.65
591,9541,Switzerland,Municipal waste generated,2003,Tonnes,4916.0,33954.0,690.68
592,9542,Switzerland,Municipal waste generated,2004,Tonnes,4900.0,34942.0,713.1
593,9543,Switzerland,Municipal waste generated,2005,Tonnes,4940.0,35534.0,719.31
594,9544,Switzerland,Municipal waste generated,2006,Tonnes,5330.0,35244.59,661.25
595,9545,Switzerland,Municipal waste generated,2007,Tonnes,5465.0,36090.11,660.39
596,9546,Switzerland,Municipal waste generated,2008,Tonnes,5653.0,35097.0,620.86
597,9547,Switzerland,Municipal waste generated,2009,Tonnes,5461.0,35370.0,647.68
598,9548,Switzerland,Municipal waste generated,2010,Tonnes,5565.0,34626.0,622.21
599,9549,Switzerland,Municipal waste generated,2011,Tonnes,5478.0,33215.0,606.33
600,9550,Switzerland,Municipal waste generated,2012,Tonnes,5576.0,32507.75,582.99
601,9551,Switzerland,Municipal waste generated,2013,Tonnes,5708.0,31954.77,559.82
602,9552,Switzerland,Municipal waste generated,2014,Tonnes,6006.0,31066.09,517.25
603,9553,Switzerland,Municipal waste generated,2015,Tonnes,6030.0,30472.52,505.35
604,9554,Switzerland,Municipal waste generated,2016,Tonnes,6056.0,30940.77,510.91
605,10085,Turkey,Municipal waste generated,1991,Tonnes,22315.0,31106.1,139.4
606,10086,Turkey,Municipal waste generated,1994,Tonnes,23448.0,31427.13,134.03
607,10087,Turkey,Municipal waste generated,1995,Tonnes,27234.13,31693.78,116.38
608,10088,Turkey,Municipal waste generated,1996,Tonnes,29347.98,188940.0,643.79
609,10089,Turkey,Municipal waste generated,1997,Tonnes,31943.77,188449.0,589.94
610,10090,Turkey,Municipal waste generated,1998,Tonnes,32972.89,194991.0,591.37
611,10091,Turkey,Municipal waste generated,1999,Tonnes,30470.03,197749.0,649.0
612,10092,Turkey,Municipal waste generated,2000,Tonnes,30617.0,200742.93,655.66
613,10093,Turkey,Municipal waste generated,2001,Tonnes,31030.87,197113.88,635.22
614,10094,Turkey,Municipal waste generated,2002,Tonnes,30999.26,195943.0,632.09
615,10095,Turkey,Municipal waste generated,2003,Tonnes,31081.37,202393.0,651.17
616,10096,Turkey,Municipal waste generated,2004,Tonnes,29736.19,206039.0,692.89
617,10097,Turkey,Municipal waste generated,2005,Tonnes,31351.87,213080.0,679.64
618,10098,Turkey,Municipal waste generated,2006,Tonnes,30081.82,220854.0,734.18
619,10099,Turkey,Municipal waste generated,2007,Tonnes,30365.59,218450.0,719.4
620,10100,Turkey,Municipal waste generated,2008,Tonnes,28454.0,222560.12,782.18
621,10101,Turkey,Municipal waste generated,2009,Tonnes,30196.0,223549.0,740.33
622,10102,Turkey,Municipal waste generated,2010,Tonnes,29733.0,230533.0,775.34
623,10103,Turkey,Municipal waste generated,2011,Tonnes,30862.0,230180.0,745.84
624,10104,Turkey,Municipal waste generated,2012,Tonnes,30786.0,233237.0,757.61
625,10105,Turkey,Municipal waste generated,2013,Tonnes,30920.0,232693.0,752.56
626,10106,Turkey,Municipal waste generated,2014,Tonnes,31230.0,229201.0,733.91
627,10107,Turkey,Municipal waste generated,2015,Tonnes,31283.0,222188.0,710.25
628,10108,Turkey,Municipal waste generated,2016,Tonnes,33763.0,227749.0,674.55
629,10406,United Kingdom,Municipal waste generated,1990,Tonnes,27100.0,227876.0,840.87
630,10407,United Kingdom,Municipal waste generated,1995,Tonnes,28900.0,228466.0,790.54
631,10408,United Kingdom,Municipal waste generated,1996,Tonnes,29750.0,231350.0,777.65
632,10409,United Kingdom,Municipal waste generated,1997,Tonnes,31042.0,234471.0,755.33
633,10410,United Kingdom,Municipal waste generated,1998,Tonnes,31697.0,57563.0,181.6
634,10411,United Kingdom,Municipal waste generated,1999,Tonnes,33392.0,4520.3,13.54
635,10412,United Kingdom,Municipal waste generated,2000,Tonnes,33954.0,4514.7,13.3
636,10413,United Kingdom,Municipal waste generated,2001,Tonnes,34945.0,4647.1,13.3
637,10414,United Kingdom,Municipal waste generated,2002,Tonnes,35532.0,4802.3,13.52
638,10415,United Kingdom,Municipal waste generated,2003,Tonnes,35279.0,4964.1,14.07
639,10416,United Kingdom,Municipal waste generated,2004,Tonnes,36121.0,5113.7,14.16
640,10417,United Kingdom,Municipal waste generated,2005,Tonnes,35121.0,5310.9,15.12
641,10418,United Kingdom,Municipal waste generated,2006,Tonnes,35479.0,5492.9,15.48
642,10419,United Kingdom,Municipal waste generated,2007,Tonnes,34780.0,5608.0,16.12
643,10420,United Kingdom,Municipal waste generated,2008,Tonnes,33424.0,5779.5,17.29
644,10421,United Kingdom,Municipal waste generated,2009,Tonnes,32507.45,5935.7,18.26
645,10422,United Kingdom,Municipal waste generated,2010,Tonnes,31954.51,6142.4,19.22
646,10423,United Kingdom,Municipal waste generated,2011,Tonnes,31066.06,7242.19,23.31
647,10424,United Kingdom,Municipal waste generated,2012,Tonnes,30412.98,7401.18,24.34
648,10425,United Kingdom,Municipal waste generated,2013,Tonnes,30890.33,72550.0,234.86
649,10426,United Kingdom,Municipal waste generated,2014,Tonnes,31131.03,78400.0,251.84
650,10427,United Kingdom,Municipal waste generated,2015,Tonnes,31456.33,74040.0,235.37
651,10428,United Kingdom,Municipal waste generated,2016,Tonnes,31682.99,75450.0,238.14
652,10851,United States,Municipal waste generated,1990,Tonnes,188939.0,80890.0,42.81
653,10852,United States,Municipal waste generated,1991,Tonnes,188449.0,80510.0,42.72
654,10853,United States,Municipal waste generated,1992,Tonnes,194990.0,78730.0,40.38
655,10854,United States,Municipal waste generated,1993,Tonnes,197748.0,94377.0,47.73
656,10855,United States,Municipal waste generated,1994,Tonnes,200742.0,103066.0,51.34
657,10856,United States,Municipal waste generated,1995,Tonnes,197113.0,112323.0,56.98
658,10857,United States,Municipal waste generated,1996,Tonnes,195943.0,123178.0,62.86
659,10858,United States,Municipal waste generated,1997,Tonnes,202393.0,130896.0,64.67
660,10859,United States,Municipal waste generated,1998,Tonnes,206040.0,144895.0,70.32
661,10860,United States,Municipal waste generated,1999,Tonnes,213080.0,532.0,0.25
662,10861,United States,Municipal waste generated,2000,Tonnes,220854.0,565.0,0.26
663,10862,United States,Municipal waste generated,2001,Tonnes,218450.0,593.0,0.27
664,10863,United States,Municipal waste generated,2002,Tonnes,222560.0,557.16,0.25
665,10864,United States,Municipal waste generated,2003,Tonnes,223548.0,568.69,0.25
666,10865,United States,Municipal waste generated,2004,Tonnes,230534.0,615.51,0.27
667,10866,United States,Municipal waste generated,2005,Tonnes,230180.0,429.82,0.19
668,10867,United States,Municipal waste generated,2006,Tonnes,233237.0,434.28,0.19
669,10868,United States,Municipal waste generated,2007,Tonnes,232693.0,456.22,0.2
670,10869,United States,Municipal waste generated,2008,Tonnes,229200.0,533.62,0.23
671,10870,United States,Municipal waste generated,2009,Tonnes,222188.0,502.47,0.23
672,10871,United States,Municipal waste generated,2010,Tonnes,227749.0,467.39,0.21
673,10872,United States,Municipal waste generated,2011,Tonnes,227876.0,530.85,0.23
674,10873,United States,Municipal waste generated,2012,Tonnes,228465.0,439.52,0.19
675,10874,United States,Municipal waste generated,2013,Tonnes,231350.0,382.58,0.17
676,10875,United States,Municipal waste generated,2014,Tonnes,234471.0,340.28,0.15
677,11242,Brazil,Municipal waste generated,2000,Tonnes,57563.0,339.5,0.59
678,11243,Brazil,Municipal waste generated,2001,Tonnes,55677.0,284.25,0.51
679,11244,Brazil,Municipal waste generated,2002,Tonnes,56524.0,355.66,0.63
680,11245,Brazil,Municipal waste generated,2003,Tonnes,57587.0,426.74,0.74
681,11246,Brazil,Municipal waste generated,2004,Tonnes,59214.0,434.25,0.73
682,11247,Brazil,Municipal waste generated,2005,Tonnes,60142.0,452.52,0.75
683,11248,Brazil,Municipal waste generated,2007,Tonnes,51432.0,3978.0,7.73
684,11249,Brazil,Municipal waste generated,2009,Tonnes,53000.0,4086.0,7.71
685,11250,Brazil,Municipal waste generated,2010,Tonnes,53000.0,4227.0,7.98
686,11251,Brazil,Municipal waste generated,2011,Tonnes,53000.0,4304.0,8.12
687,11252,Brazil,Municipal waste generated,2012,Tonnes,57900.0,4434.0,7.66
688,11277,Chile,Municipal waste generated,2000,Tonnes,4520.3,4550.8,100.67
689,11278,Chile,Municipal waste generated,2001,Tonnes,4514.7,4623.18,102.4
690,11279,Chile,Municipal waste generated,2002,Tonnes,4647.1,4745.8,102.12
691,11280,Chile,Municipal waste generated,2003,Tonnes,4802.3,4837.4,100.73
692,11281,Chile,Municipal waste generated,2004,Tonnes,4964.1,4906.6,98.84
693,11282,Chile,Municipal waste generated,2005,Tonnes,5113.7,4999.5,97.77
694,11283,Chile,Municipal waste generated,2006,Tonnes,5310.9,5112.677,96.27
695,11284,Chile,Municipal waste generated,2007,Tonnes,5492.9,5293.312,96.37
696,11285,Chile,Municipal waste generated,2008,Tonnes,5608.0,932.77,16.63
697,11286,Chile,Municipal waste generated,2009,Tonnes,5779.5,987.07,17.08
698,11287,Chile,Municipal waste generated,2010,Tonnes,5935.7,1044.84,17.6
699,11288,Chile,Municipal waste generated,2011,Tonnes,6142.4,1127.09,18.35
700,11289,Chile,Municipal waste generated,2014,Tonnes,7242.19,969.16,13.38
701,11290,Chile,Municipal waste generated,2015,Tonnes,7401.18,860.94,11.63
702,11344,China (People's Republic of),Municipal waste generated,1990,Tonnes,67668.0,738.02,1.09
703,11345,China (People's Republic of),Municipal waste generated,1991,Tonnes,76360.0,791.07,1.04
704,11346,China (People's Republic of),Municipal waste generated,1992,Tonnes,82620.0,803.72,0.97
705,11347,China (People's Republic of),Municipal waste generated,1993,Tonnes,87910.0,837.89,0.95
706,11348,China (People's Republic of),Municipal waste generated,1994,Tonnes,99520.0,843.75,0.85
707,11349,China (People's Republic of),Municipal waste generated,1995,Tonnes,106710.0,886.21,0.83
708,11350,China (People's Republic of),Municipal waste generated,1996,Tonnes,108254.0,919.97,0.85
709,11351,China (People's Republic of),Municipal waste generated,1997,Tonnes,109819.0,904.97,0.82
710,11352,China (People's Republic of),Municipal waste generated,1998,Tonnes,113018.0,851.1,0.75
711,11353,China (People's Republic of),Municipal waste generated,1999,Tonnes,114152.0,948.13,0.83
712,11354,China (People's Republic of),Municipal waste generated,2000,Tonnes,118190.0,838.72,0.71
713,11355,China (People's Republic of),Municipal waste generated,2001,Tonnes,134700.0,713.76,0.53
714,11356,China (People's Republic of),Municipal waste generated,2002,Tonnes,136500.0,830.35,0.61
715,11357,China (People's Republic of),Municipal waste generated,2003,Tonnes,148570.0,863.69,0.58
716,11358,China (People's Republic of),Municipal waste generated,2004,Tonnes,155090.0,899.74,0.58
717,11359,China (People's Republic of),Municipal waste generated,2005,Tonnes,155770.0,922.88,0.59
718,11360,China (People's Republic of),Municipal waste generated,2006,Tonnes,148410.0,7567.05,5.1
719,11361,China (People's Republic of),Municipal waste generated,2007,Tonnes,152150.0,7580.46,4.98
720,11362,China (People's Republic of),Municipal waste generated,2008,Tonnes,154380.0,9191.97,5.95
721,11363,China (People's Republic of),Municipal waste generated,2009,Tonnes,157340.0,11273.44,7.17
722,11364,China (People's Republic of),Municipal waste generated,2010,Tonnes,158048.0,8980.2,5.68
723,11365,China (People's Republic of),Municipal waste generated,2011,Tonnes,163953.0,9686.01,5.91
724,11366,China (People's Republic of),Municipal waste generated,2012,Tonnes,170809.0,8974.0,5.25
725,11496,Estonia,Municipal waste generated,1995,Tonnes,533.0,11189.69,2099.38
726,11497,Estonia,Municipal waste generated,1996,Tonnes,565.0,456.79,80.85
727,11498,Estonia,Municipal waste generated,1997,Tonnes,593.0,475.96,80.26
728,11499,Estonia,Municipal waste generated,1998,Tonnes,557.0,506.3,90.9
729,11500,Estonia,Municipal waste generated,1999,Tonnes,569.0,536.64,94.31
730,11501,Estonia,Municipal waste generated,2000,Tonnes,633.0,566.98,89.57
731,11502,Estonia,Municipal waste generated,2001,Tonnes,508.53,597.32,117.46
732,11503,Estonia,Municipal waste generated,2002,Tonnes,553.24,640.0,115.68
733,11504,Estonia,Municipal waste generated,2003,Tonnes,566.8,673.27,118.78
734,11505,Estonia,Municipal waste generated,2004,Tonnes,606.2,605.79,99.93
735,11506,Estonia,Municipal waste generated,2005,Tonnes,587.19,647.08,110.2
736,11507,Estonia,Municipal waste generated,2006,Tonnes,536.0,595.56,111.11
737,11508,Estonia,Municipal waste generated,2007,Tonnes,602.0,708.87,117.75
738,11509,Estonia,Municipal waste generated,2008,Tonnes,524.0,781.99,149.23
739,11510,Estonia,Municipal waste generated,2009,Tonnes,452.0,756.23,167.31
740,11511,Estonia,Municipal waste generated,2010,Tonnes,406.0,752.96,185.46
741,11512,Estonia,Municipal waste generated,2011,Tonnes,399.0,680.1,170.45
742,11513,Estonia,Municipal waste generated,2012,Tonnes,371.0,601.21,162.05
743,11514,Estonia,Municipal waste generated,2013,Tonnes,386.29,612.54,158.57
744,11515,Estonia,Municipal waste generated,2014,Tonnes,469.55,703.0,149.72
745,11516,Estonia,Municipal waste generated,2015,Tonnes,472.55,711.0,150.46
746,11517,Estonia,Municipal waste generated,2016,Tonnes,494.36,723.0,146.25
747,11940,Indonesia,Municipal waste generated,2001,Tonnes,4726.108,717.97,15.19
748,11941,Indonesia,Municipal waste generated,2002,Tonnes,4859.61,915.0,18.83
749,11942,Indonesia,Municipal waste generated,2003,Tonnes,5470.788000000001,1002.0,18.32
750,11943,Indonesia,Municipal waste generated,2004,Tonnes,6044.45,1123.0,18.58
751,11944,Indonesia,Municipal waste generated,2005,Tonnes,6044.45,1174.0,19.42
752,11945,Indonesia,Municipal waste generated,2006,Tonnes,5256.52,1240.0,23.59
753,11946,Indonesia,Municipal waste generated,2007,Tonnes,7576.772,1869.7,24.68
754,11947,Indonesia,Municipal waste generated,2008,Tonnes,7576.772,1061.4,14.01
755,11948,Indonesia,Municipal waste generated,2009,Tonnes,6866.198,1546.0,22.52
756,11949,Indonesia,Municipal waste generated,2010,Tonnes,7245.246,1445.0,19.94
757,11950,Indonesia,Municipal waste generated,2011,Tonnes,7742.343000000002,1510.0,19.5
758,11951,Indonesia,Municipal waste generated,2012,Tonnes,7650.389,1578.0,20.63
759,11952,Israel,Municipal waste generated,2000,Tonnes,3967.58,1236.0,31.15
760,11953,Israel,Municipal waste generated,2001,Tonnes,3590.481,1209.0,33.67
761,11954,Israel,Municipal waste generated,2002,Tonnes,3855.364,1169.0,30.32
762,11955,Israel,Municipal waste generated,2003,Tonnes,3846.939,1119.0,29.09
763,11956,Israel,Municipal waste generated,2004,Tonnes,3978.0,1136.0,28.56
764,11957,Israel,Municipal waste generated,2005,Tonnes,4086.0,1176.52,28.79
765,11958,Israel,Municipal waste generated,2006,Tonnes,4227.0,1198.22,28.35
766,11959,Israel,Municipal waste generated,2007,Tonnes,4304.0,1236.69,28.73
767,11960,Israel,Municipal waste generated,2008,Tonnes,4434.0,1346.87,30.38
768,11961,Israel,Municipal waste generated,2009,Tonnes,4550.8,1352.53,29.72
769,11962,Israel,Municipal waste generated,2010,Tonnes,4623.18,1195.59,25.86
770,11963,Israel,Municipal waste generated,2011,Tonnes,4745.8,1142.5,24.07
771,11964,Israel,Municipal waste generated,2012,Tonnes,4837.4,1308.51,27.05
772,11965,Israel,Municipal waste generated,2013,Tonnes,4906.6,1283.02,26.15
773,11966,Israel,Municipal waste generated,2014,Tonnes,4999.5,1245.92,24.92
774,11967,Israel,Municipal waste generated,2015,Tonnes,5112.677,1247.29,24.4
775,11968,Israel,Municipal waste generated,2016,Tonnes,5293.312,1282.13,24.22
776,12037,Russia,Municipal waste generated,1999,Tonnes,50835.65,1211.02,2.38
777,12038,Russia,Municipal waste generated,2000,Tonnes,51828.63,,
778,12039,Russia,Municipal waste generated,2001,Tonnes,51115.2,,
779,12040,Russia,Municipal waste generated,2002,Tonnes,54010.5,,
780,12041,Russia,Municipal waste generated,2003,Tonnes,55068.43,,
781,12042,Russia,Municipal waste generated,2004,Tonnes,57822.48,,
782,12043,Russia,Municipal waste generated,2005,Tonnes,57695.05,,
783,12044,Russia,Municipal waste generated,2006,Tonnes,60847.25,,
784,12045,Russia,Municipal waste generated,2007,Tonnes,62868.18,,
785,12046,Russia,Municipal waste generated,2008,Tonnes,64605.13,,
786,12047,Russia,Municipal waste generated,2009,Tonnes,66871.68,,
787,12048,Russia,Municipal waste generated,2010,Tonnes,69256.63,,
788,12049,Russia,Municipal waste generated,2011,Tonnes,69198.28,,
789,12050,Russia,Municipal waste generated,2012,Tonnes,80564.33,,
790,12051,Slovenia,Municipal waste generated,1995,Tonnes,1185.93,,
791,12052,Slovenia,Municipal waste generated,1996,Tonnes,1175.0,,
792,12053,Slovenia,Municipal waste generated,1997,Tonnes,1170.0,,
793,12054,Slovenia,Municipal waste generated,1998,Tonnes,1158.79,,
794,12055,Slovenia,Municipal waste generated,1999,Tonnes,1090.0,,
795,12056,Slovenia,Municipal waste generated,2000,Tonnes,1020.0,,
796,12057,Slovenia,Municipal waste generated,2001,Tonnes,952.68,,
797,12058,Slovenia,Municipal waste generated,2002,Tonnes,812.06,,
798,12059,Slovenia,Municipal waste generated,2003,Tonnes,834.02,,
799,12060,Slovenia,Municipal waste generated,2004,Tonnes,969.21,,
800,12061,Slovenia,Municipal waste generated,2005,Tonnes,988.73,,
801,12062,Slovenia,Municipal waste generated,2006,Tonnes,1036.47,,
802,12063,Slovenia,Municipal waste generated,2007,Tonnes,1060.09,,
803,12064,Slovenia,Municipal waste generated,2008,Tonnes,1094.76,,
804,12065,Slovenia,Municipal waste generated,2009,Tonnes,1069.35,,
805,12066,Slovenia,Municipal waste generated,2010,Tonnes,1003.9,,
806,12067,Slovenia,Municipal waste generated,2011,Tonnes,852.12,,
807,12068,Slovenia,Municipal waste generated,2012,Tonnes,744.01,,
808,12069,Slovenia,Municipal waste generated,2013,Tonnes,853.39,,
809,12070,Slovenia,Municipal waste generated,2014,Tonnes,891.71,,
810,12071,Slovenia,Municipal waste generated,2015,Tonnes,925.94,,
811,12072,Slovenia,Municipal waste generated,2016,Tonnes,963.07,,
812,13509,OECD - Total,Municipal waste generated,1990,Tonnes,539061.75,,
813,13510,OECD - Total,Municipal waste generated,1991,Tonnes,549121.875,,
814,13511,OECD - Total,Municipal waste generated,1992,Tonnes,568487.813,,
815,13512,OECD - Total,Municipal waste generated,1993,Tonnes,577670.875,,
816,13513,OECD - Total,Municipal waste generated,1994,Tonnes,583030.0,,
817,13514,OECD - Total,Municipal waste generated,1995,Tonnes,582618.875,,
818,13515,OECD - Total,Municipal waste generated,1996,Tonnes,594110.25,,
819,13516,OECD - Total,Municipal waste generated,1997,Tonnes,607898.5,,
820,13517,OECD - Total,Municipal waste generated,1998,Tonnes,615059.125,,
821,13518,OECD - Total,Municipal waste generated,1999,Tonnes,627501.938,,
822,13519,OECD - Total,Municipal waste generated,2000,Tonnes,642692.25,,
823,13520,OECD - Total,Municipal waste generated,2001,Tonnes,641136.125,,
824,13521,OECD - Total,Municipal waste generated,2002,Tonnes,651147.375,,
825,13522,OECD - Total,Municipal waste generated,2003,Tonnes,649921.938,,
826,13523,OECD - Total,Municipal waste generated,2004,Tonnes,657831.125,,
827,13524,OECD - Total,Municipal waste generated,2005,Tonnes,661225.063,,
828,13525,OECD - Total,Municipal waste generated,2006,Tonnes,667931.0,,
829,13526,OECD - Total,Municipal waste generated,2007,Tonnes,670666.813,,
830,13527,OECD - Total,Municipal waste generated,2008,Tonnes,663637.25,,
831,13528,OECD - Total,Municipal waste generated,2009,Tonnes,654010.75,,
832,13529,OECD - Total,Municipal waste generated,2010,Tonnes,658841.0,,
833,13530,OECD - Total,Municipal waste generated,2011,Tonnes,659346.0,,
834,13531,OECD - Total,Municipal waste generated,2012,Tonnes,656660.5,,
835,13532,OECD - Total,Municipal waste generated,2013,Tonnes,657614.938,,
836,13533,OECD - Total,Municipal waste generated,2014,Tonnes,662857.188,,
837,13534,OECD - Total,Municipal waste generated,2015,Tonnes,666650.875,,
838,13535,OECD - Total,Municipal waste generated,2016,Tonnes,673199.938,,
839,13572,OECD - Europe,Municipal waste generated,1990,Tonnes,224526.891,,
840,13573,OECD - Europe,Municipal waste generated,1991,Tonnes,228271.875,,
841,13574,OECD - Europe,Municipal waste generated,1992,Tonnes,231527.203,,
842,13575,OECD - Europe,Municipal waste generated,1993,Tonnes,235876.219,,
843,13576,OECD - Europe,Municipal waste generated,1994,Tonnes,238057.844,,
844,13577,OECD - Europe,Municipal waste generated,1995,Tonnes,243558.766,,
845,13578,OECD - Europe,Municipal waste generated,1996,Tonnes,252683.156,,
846,13579,OECD - Europe,Municipal waste generated,1997,Tonnes,262625.125,,
847,13580,OECD - Europe,Municipal waste generated,1998,Tonnes,264912.156,,
848,13581,OECD - Europe,Municipal waste generated,1999,Tonnes,268776.375,,
849,13582,OECD - Europe,Municipal waste generated,2000,Tonnes,274293.156,,
850,13583,OECD - Europe,Municipal waste generated,2001,Tonnes,273852.594,,
851,13584,OECD - Europe,Municipal waste generated,2002,Tonnes,278318.0,,
852,13585,OECD - Europe,Municipal waste generated,2003,Tonnes,274432.344,,
853,13586,OECD - Europe,Municipal waste generated,2004,Tonnes,274063.344,,
854,13587,OECD - Europe,Municipal waste generated,2005,Tonnes,277640.438,,
855,13588,OECD - Europe,Municipal waste generated,2006,Tonnes,280593.188,,
856,13589,OECD - Europe,Municipal waste generated,2007,Tonnes,283534.563,,
857,13590,OECD - Europe,Municipal waste generated,2008,Tonnes,280796.438,,
858,13591,OECD - Europe,Municipal waste generated,2009,Tonnes,279125.188,,
859,13592,OECD - Europe,Municipal waste generated,2010,Tonnes,277604.781,,
860,13593,OECD - Europe,Municipal waste generated,2011,Tonnes,276566.406,,
861,13594,OECD - Europe,Municipal waste generated,2012,Tonnes,271936.406,,
862,13595,OECD - Europe,Municipal waste generated,2013,Tonnes,269531.031,,
863,13596,OECD - Europe,Municipal waste generated,2014,Tonnes,270720.469,,
864,13597,OECD - Europe,Municipal waste generated,2015,Tonnes,272779.75,,
865,13598,OECD - Europe,Municipal waste generated,2016,Tonnes,278508.125,,
866,13785,Colombia,Municipal waste generated,2003,Tonnes,5289.0,,
867,13786,Colombia,Municipal waste generated,2004,Tonnes,6128.0,,
868,13787,Colombia,Municipal waste generated,2005,Tonnes,7567.0,,
869,13788,Colombia,Municipal waste generated,2006,Tonnes,7580.0,,
870,13789,Colombia,Municipal waste generated,2007,Tonnes,9192.0,,
871,13790,Colombia,Municipal waste generated,2008,Tonnes,11273.0,,
872,13791,Colombia,Municipal waste generated,2009,Tonnes,8980.0,,
873,13792,Colombia,Municipal waste generated,2010,Tonnes,9686.0,,
874,13793,Colombia,Municipal waste generated,2011,Tonnes,8975.0,,
875,13794,Colombia,Municipal waste generated,2015,Tonnes,11189.0,,
876,13860,Latvia,Municipal waste generated,1995,Tonnes,657.0,,
877,13861,Latvia,Municipal waste generated,1996,Tonnes,650.0,,
878,13862,Latvia,Municipal waste generated,1997,Tonnes,621.0,,
879,13863,Latvia,Municipal waste generated,1998,Tonnes,597.0,,
880,13864,Latvia,Municipal waste generated,1999,Tonnes,613.0,,
881,13865,Latvia,Municipal waste generated,2000,Tonnes,642.0,,
882,13866,Latvia,Municipal waste generated,2001,Tonnes,713.0,,
883,13867,Latvia,Municipal waste generated,2002,Tonnes,793.0,,
884,13868,Latvia,Municipal waste generated,2003,Tonnes,695.0,,
885,13869,Latvia,Municipal waste generated,2004,Tonnes,720.38,,
886,13870,Latvia,Municipal waste generated,2005,Tonnes,716.0,,
887,13871,Latvia,Municipal waste generated,2006,Tonnes,760.0,,
888,13872,Latvia,Municipal waste generated,2007,Tonnes,860.92,,
889,13873,Latvia,Municipal waste generated,2008,Tonnes,751.92,,
890,13874,Latvia,Municipal waste generated,2009,Tonnes,752.96,,
891,13875,Latvia,Municipal waste generated,2010,Tonnes,680.14,,
892,13876,Latvia,Municipal waste generated,2011,Tonnes,720.64,,
893,13877,Latvia,Municipal waste generated,2012,Tonnes,657.61,,
894,13878,Latvia,Municipal waste generated,2013,Tonnes,704.0,,
895,13879,Latvia,Municipal waste generated,2014,Tonnes,726.0,,
896,13880,Latvia,Municipal waste generated,2015,Tonnes,798.06,,
897,13881,Latvia,Municipal waste generated,2016,Tonnes,802.47,,
898,14457,Costa Rica,Municipal waste generated,2010,Tonnes,1506.0,,
899,14458,Costa Rica,Municipal waste generated,2011,Tonnes,1659.0,,
900,14459,Costa Rica,Municipal waste generated,2012,Tonnes,1698.0,,
901,14460,Costa Rica,Municipal waste generated,2013,Tonnes,1752.0,,
902,14461,Costa Rica,Municipal waste generated,2014,Tonnes,1788.0,,
903,14462,Costa Rica,Municipal waste generated,2015,Tonnes,1877.0,,
904,14463,Costa Rica,Municipal waste generated,2016,Tonnes,1218.0,,
905,14590,Lithuania,Municipal waste generated,1995,Tonnes,1546.0,,
906,14591,Lithuania,Municipal waste generated,1996,Tonnes,1445.0,,
907,14592,Lithuania,Municipal waste generated,1997,Tonnes,1510.0,,
908,14593,Lithuania,Municipal waste generated,1998,Tonnes,1578.0,,
909,14594,Lithuania,Municipal waste generated,1999,Tonnes,1236.0,,
910,14595,Lithuania,Municipal waste generated,2000,Tonnes,1276.0,,
911,14596,Lithuania,Municipal waste generated,2001,Tonnes,1313.0,,
912,14597,Lithuania,Municipal waste generated,2002,Tonnes,1395.0,,
913,14598,Lithuania,Municipal waste generated,2003,Tonnes,1328.0,,
914,14599,Lithuania,Municipal waste generated,2004,Tonnes,1260.0,,
915,14600,Lithuania,Municipal waste generated,2005,Tonnes,1287.0,,
916,14601,Lithuania,Municipal waste generated,2006,Tonnes,1326.0,,
917,14602,Lithuania,Municipal waste generated,2007,Tonnes,1624.332,,
918,14603,Lithuania,Municipal waste generated,2008,Tonnes,1505.878,,
919,14604,Lithuania,Municipal waste generated,2009,Tonnes,1314.0279999999998,,
920,14605,Lithuania,Municipal waste generated,2010,Tonnes,1327.774,,
921,14606,Lithuania,Municipal waste generated,2011,Tonnes,1366.066,,
922,14607,Lithuania,Municipal waste generated,2012,Tonnes,1409.973,,
923,14608,Lithuania,Municipal waste generated,2013,Tonnes,1318.45,,
924,14609,Lithuania,Municipal waste generated,2014,Tonnes,1308.352,,
925,14610,Lithuania,Municipal waste generated,2015,Tonnes,1326.529,,
926,14611,Lithuania,Municipal waste generated,2016,Tonnes,1272.06,,
