,COU,Country,Variable,Year,Value
112,BEL,Belgium,Environmental Policy Stringency,2007,2.2041666507721
113,BEL,Belgium,Environmental Policy Stringency,2008,2.3375000953674
114,BEL,Belgium,Environmental Policy Stringency,2009,2.5750000476837003
115,BEL,Belgium,Environmental Policy Stringency,2010,2.5999999046326
116,BEL,Belgium,Environmental Policy Stringency,2011,2.5333333015442
117,BEL,Belgium,Environmental Policy Stringency,2012,2.4666666984558
118,ITA,Italy,Trading Schemes White Certificates,1990,0.0
119,ITA,Italy,Trading Schemes White Certificates,1991,0.0
120,ITA,Italy,Trading Schemes White Certificates,1992,0.0
121,ITA,Italy,Trading Schemes White Certificates,1993,0.0
122,ITA,Italy,Trading Schemes White Certificates,1994,0.0
123,ITA,Italy,Trading Schemes White Certificates,1995,0.0
124,ITA,Italy,Trading Schemes White Certificates,1996,0.0
125,ITA,Italy,Trading Schemes White Certificates,1997,0.0
126,ITA,Italy,Trading Schemes White Certificates,1998,0.0
127,ITA,Italy,Trading Schemes White Certificates,1999,0.0
128,ITA,Italy,Trading Schemes White Certificates,2000,0.0
129,ITA,Italy,Trading Schemes White Certificates,2001,0.0
130,ITA,Italy,Trading Schemes White Certificates,2002,0.0
131,ITA,Italy,Trading Schemes White Certificates,2003,0.0
132,ITA,Italy,Trading Schemes White Certificates,2004,0.0
133,ITA,Italy,Trading Schemes White Certificates,2005,1.0
134,ITA,Italy,Trading Schemes White Certificates,2006,1.0
135,ITA,Italy,Trading Schemes White Certificates,2007,1.0
136,ITA,Italy,Trading Schemes White Certificates,2008,1.0
137,ITA,Italy,Trading Schemes White Certificates,2009,2.0
138,ITA,Italy,Trading Schemes White Certificates,2010,2.0
139,ITA,Italy,Trading Schemes White Certificates,2011,3.0
140,ITA,Italy,Trading Schemes White Certificates,2012,3.0
141,ITA,Italy,Trading Schemes White Certificates,2013,3.0
142,ITA,Italy,Trading Schemes White Certificates,2014,3.0
143,ITA,Italy,Trading Schemes White Certificates,2015,4.0
144,CHE,Switzerland,Sulphur content limit for diesel,1990,1.0
145,CHE,Switzerland,Sulphur content limit for diesel,1991,1.0
146,CHE,Switzerland,Sulphur content limit for diesel,1992,1.0
147,CHE,Switzerland,Sulphur content limit for diesel,1993,2.0
148,CHE,Switzerland,Sulphur content limit for diesel,1994,2.0
149,CHE,Switzerland,Sulphur content limit for diesel,1995,2.0
150,CHE,Switzerland,Sulphur content limit for diesel,1996,2.0
151,CHE,Switzerland,Sulphur content limit for diesel,1997,2.0
152,CHE,Switzerland,Sulphur content limit for diesel,1998,2.0
153,CHE,Switzerland,Sulphur content limit for diesel,1999,2.0
154,CHE,Switzerland,Sulphur content limit for diesel,2000,4.0
155,CHE,Switzerland,Sulphur content limit for diesel,2001,4.0
156,CHE,Switzerland,Sulphur content limit for diesel,2002,4.0
157,CHE,Switzerland,Sulphur content limit for diesel,2003,4.0
158,CHE,Switzerland,Sulphur content limit for diesel,2004,4.0
159,CHE,Switzerland,Sulphur content limit for diesel,2005,5.0
160,CHE,Switzerland,Sulphur content limit for diesel,2006,5.0
161,CHE,Switzerland,Sulphur content limit for diesel,2007,5.0
162,CHE,Switzerland,Sulphur content limit for diesel,2008,5.0
163,CHE,Switzerland,Sulphur content limit for diesel,2009,6.0
164,CHE,Switzerland,Sulphur content limit for diesel,2010,6.0
165,CHE,Switzerland,Sulphur content limit for diesel,2011,6.0
166,CHE,Switzerland,Sulphur content limit for diesel,2012,6.0
167,CZE,Czech Republic,Tax NOx,1990,1.0
168,CZE,Czech Republic,Tax NOx,1991,1.0
169,CZE,Czech Republic,Tax NOx,1992,1.0
170,CZE,Czech Republic,Tax NOx,1993,1.0
171,CZE,Czech Republic,Tax NOx,1994,1.0
172,CZE,Czech Republic,Tax NOx,1995,1.0
173,CZE,Czech Republic,Tax NOx,1996,1.0
174,CZE,Czech Republic,Tax NOx,1997,1.0
175,CZE,Czech Republic,Tax NOx,1998,1.0
176,CZE,Czech Republic,Tax NOx,1999,1.0
177,CZE,Czech Republic,Tax NOx,2000,3.0
178,CZE,Czech Republic,Tax NOx,2001,3.0
179,CZE,Czech Republic,Tax NOx,2002,3.0
180,CZE,Czech Republic,Tax NOx,2003,3.0
181,CZE,Czech Republic,Tax NOx,2004,3.0
182,CZE,Czech Republic,Tax NOx,2005,2.0
183,CZE,Czech Republic,Tax NOx,2006,2.0
184,CZE,Czech Republic,Tax NOx,2007,2.0
185,CZE,Czech Republic,Tax NOx,2008,2.0
186,CZE,Czech Republic,Tax NOx,2009,2.0
187,CZE,Czech Republic,Tax NOx,2010,2.0
188,CZE,Czech Republic,Tax NOx,2011,2.0
189,CZE,Czech Republic,Tax NOx,2012,2.0
190,CZE,Czech Republic,Trading Schemes Green Certificates,1990,0.0
191,CZE,Czech Republic,Trading Schemes Green Certificates,1991,0.0
192,CZE,Czech Republic,Trading Schemes Green Certificates,1992,0.0
193,CZE,Czech Republic,Trading Schemes Green Certificates,1993,0.0
194,CZE,Czech Republic,Trading Schemes Green Certificates,1994,0.0
195,CZE,Czech Republic,Trading Schemes Green Certificates,1995,0.0
196,CZE,Czech Republic,Trading Schemes Green Certificates,1996,0.0
197,CZE,Czech Republic,Trading Schemes Green Certificates,1997,0.0
198,CZE,Czech Republic,Trading Schemes Green Certificates,1998,0.0
199,CZE,Czech Republic,Trading Schemes Green Certificates,1999,0.0
200,CZE,Czech Republic,Trading Schemes Green Certificates,2000,0.0
201,CZE,Czech Republic,Trading Schemes Green Certificates,2001,0.0
202,CZE,Czech Republic,Trading Schemes Green Certificates,2002,0.0
203,CZE,Czech Republic,Trading Schemes Green Certificates,2003,0.0
204,CZE,Czech Republic,Trading Schemes Green Certificates,2004,0.0
205,CZE,Czech Republic,Trading Schemes Green Certificates,2005,0.0
206,CZE,Czech Republic,Trading Schemes Green Certificates,2006,0.0
207,CZE,Czech Republic,Trading Schemes Green Certificates,2007,0.0
208,CZE,Czech Republic,Trading Schemes Green Certificates,2008,0.0
209,CZE,Czech Republic,Trading Schemes Green Certificates,2009,0.0
210,CZE,Czech Republic,Trading Schemes Green Certificates,2010,0.0
211,CZE,Czech Republic,Trading Schemes Green Certificates,2011,0.0
212,CZE,Czech Republic,Trading Schemes Green Certificates,2012,0.0
213,TUR,Turkey,Feed-in Tariffs,1990,0.0
214,TUR,Turkey,Feed-in Tariffs,1991,0.0
215,TUR,Turkey,Feed-in Tariffs,1992,0.0
216,TUR,Turkey,Feed-in Tariffs,1993,0.0
217,TUR,Turkey,Feed-in Tariffs,1994,0.0
218,TUR,Turkey,Feed-in Tariffs,1995,0.0
219,TUR,Turkey,Feed-in Tariffs,1996,0.0
220,TUR,Turkey,Feed-in Tariffs,1997,0.0
221,TUR,Turkey,Feed-in Tariffs,1998,0.0
222,TUR,Turkey,Feed-in Tariffs,1999,0.0
223,TUR,Turkey,Feed-in Tariffs,2000,0.0
224,TUR,Turkey,Feed-in Tariffs,2001,0.0
225,TUR,Turkey,Feed-in Tariffs,2002,0.0
226,TUR,Turkey,Feed-in Tariffs,2003,0.0
227,TUR,Turkey,Feed-in Tariffs,2004,0.0
228,TUR,Turkey,Feed-in Tariffs,2005,0.0
229,TUR,Turkey,Feed-in Tariffs,2006,4.0
230,TUR,Turkey,Feed-in Tariffs,2007,4.0
231,TUR,Turkey,Feed-in Tariffs,2008,3.5
232,TUR,Turkey,Feed-in Tariffs,2009,3.5
233,TUR,Turkey,Feed-in Tariffs,2010,3.5
234,TUR,Turkey,Feed-in Tariffs,2011,4.0
235,TUR,Turkey,Feed-in Tariffs,2012,2.0
236,TUR,Turkey,Feed-in Tariffs,2013,2.0
237,TUR,Turkey,Feed-in Tariffs,2014,2.0
238,TUR,Turkey,Feed-in Tariffs,2015,2.0
239,JPN,Japan,Tax SOx,1990,6.0
240,JPN,Japan,Tax SOx,1991,6.0
241,JPN,Japan,Tax SOx,1992,6.0
242,JPN,Japan,Tax SOx,1993,6.0
243,JPN,Japan,Tax SOx,1994,6.0
244,JPN,Japan,Tax SOx,1995,6.0
245,JPN,Japan,Tax SOx,1996,6.0
246,JPN,Japan,Tax SOx,1997,6.0
247,JPN,Japan,Tax SOx,1998,6.0
248,JPN,Japan,Tax SOx,1999,6.0
249,JPN,Japan,Tax SOx,2000,6.0
250,JPN,Japan,Tax SOx,2001,6.0
251,JPN,Japan,Tax SOx,2002,6.0
252,JPN,Japan,Tax SOx,2003,6.0
253,JPN,Japan,Tax SOx,2004,6.0
254,JPN,Japan,Tax SOx,2005,6.0
255,JPN,Japan,Tax SOx,2006,6.0
256,JPN,Japan,Tax SOx,2007,6.0
257,JPN,Japan,Tax SOx,2008,6.0
258,JPN,Japan,Tax SOx,2009,6.0
259,JPN,Japan,Tax SOx,2010,6.0
260,JPN,Japan,Tax SOx,2011,6.0
261,JPN,Japan,Tax SOx,2012,6.0
262,JPN,Japan,Tax SOx,2013,6.0
263,JPN,Japan,Tax SOx,2014,6.0
264,JPN,Japan,Tax SOx,2015,6.0
265,DNK,Denmark,R&D subsidies,1990,3.0
266,DNK,Denmark,R&D subsidies,1991,5.0
267,DNK,Denmark,R&D subsidies,1992,5.0
268,DNK,Denmark,R&D subsidies,1993,5.0
269,DNK,Denmark,R&D subsidies,1994,5.0
270,DNK,Denmark,R&D subsidies,1995,4.0
271,DNK,Denmark,R&D subsidies,1996,4.0
272,DNK,Denmark,R&D subsidies,1997,4.0
273,DNK,Denmark,R&D subsidies,1998,5.0
274,DNK,Denmark,R&D subsidies,1999,4.0
275,DNK,Denmark,R&D subsidies,2000,4.0
276,DNK,Denmark,R&D subsidies,2001,4.0
277,DNK,Denmark,R&D subsidies,2002,2.0
278,DNK,Denmark,R&D subsidies,2003,2.0
279,DNK,Denmark,R&D subsidies,2004,4.0
280,DNK,Denmark,R&D subsidies,2005,5.0
