Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brazil,Terrestrial,57.0,48.5,79.52,791.94,2569.58,10972.0,7705.0,7727.0,7001.0,7551.5,44608.859300000004,2085.4714,1921.2,1198.0,247.9807,787.0669,796.5,735.0,,,,,,
Bulgaria,Freshwater,,172108.0,206097.0,211192.0,174934.0,124100.0,117176.0,111600.0,109275.0,112134.0,138441.0,112570.0,99154.0,,37306.0,14266.0,28247.0,,,,,,,
Bulgaria,Terrestrial,189143.0,172108.0,206097.0,211192.0,174934.0,124100.0,117176.0,111600.0,109275.0,112134.0,138441.0,112570.0,99154.0,,37306.0,14266.0,28247.0,,,,,,,
Cameroon,Freshwater,,7015.0,35.0,5977.0,4500.0,8257.0,35408.0,55352.0,,8010.0,,5320.0,,,,,,,,,,,,
Cameroon,Terrestrial,,7015.0,35.0,5977.0,4500.0,8257.0,35408.0,55352.0,,8010.0,,5320.0,,,,,,,,,,,,
Canada,Freshwater,1927375.38333,1763748.0566600002,886600.12,902290.5466700001,728593.73,761700.547,816750.4560000001,788630.1730000002,947450.88,1101868.4809,941002.986,939563.3419,767274.7890000001,825418.7477,1054689.7118000002,1008738.273,1128279.6611000001,1082117.497,1001923.18,1046275.8672,829524.7200000001,924057.25,1001915.3,935182.3
Canada,Marine,1741.0,1763748.0566600002,886600.12,902290.5466700001,728593.73,761700.547,816750.4560000001,788630.1730000002,947450.88,1101868.4809,941002.986,939563.3419,767274.7890000001,825418.7477,1054689.7118000002,1008738.273,1128279.6611000001,1082117.497,1001923.18,1046275.8672,829524.7200000001,924057.25,1001915.3,935182.3
Canada,Terrestrial,373222.43000000005,1763748.0566600002,886600.12,902290.5466700001,728593.73,761700.547,816750.4560000001,788630.1730000002,947450.88,1101868.4809,941002.986,939563.3419,767274.7890000001,825418.7477,1054689.7118000002,1008738.273,1128279.6611000001,1082117.497,1001923.18,1046275.8672,829524.7200000001,924057.25,1001915.3,935182.3
Cayman Islands,Freshwater,,400.0,,,400.0,,25.0,422.0,,,,,,,,,,,,,,,,
Cayman Islands,Terrestrial,,400.0,,,400.0,,25.0,422.0,,,,,,,,,,,,,,,,
