"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","RD_SUB","R&D subsidies","2005","2005","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2006","2006","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2007","2007","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2008","2008","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2009","2009","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2010","2010","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2011","2011","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2012","2012","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1990","1990","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1991","1991","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1992","1992","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1993","1993","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1994","1994","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1995","1995","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1996","1996","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1997","1997","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1998","1998","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","1999","1999","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2000","2000","IDX","Index","0","Units",,,0,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2001","2001","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2002","2002","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2003","2003","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2004","2004","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2005","2005","IDX","Index","0","Units",,,1,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2006","2006","IDX","Index","0","Units",,,6,,
