True,Country,POL,Variable,Year,Unit,Value
0,Australia,CO2,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,278352.79
1,Australia,CO2,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,279807.363
2,Australia,CO2,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,284840.06
3,Australia,CO2,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,289230.533
4,Australia,CO2,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,293928.812
5,Australia,CO2,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,305260.838
6,Australia,CO2,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,312184.873
7,Australia,CO2,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,320558.102
8,Australia,CO2,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,334426.787
9,Australia,CO2,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,343850.37100000004
10,Australia,CO2,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,349983.936
11,Australia,CO2,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,357461.95399999997
12,Australia,CO2,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,361966.481
13,Australia,CO2,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,368784.964
14,Australia,CO2,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,382021.098
15,Australia,CO2,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,385807.3
16,Australia,CO2,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,391363.83200000005
17,Australia,CO2,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,399297.23600000003
18,Australia,CO2,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,404889.724
19,Australia,CO2,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,408752.342
20,Australia,CO2,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,406810.735
21,Australia,CO2,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,404273.38
22,Australia,CO2,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,407140.008
23,Australia,CO2,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,398292.62899999996
24,Australia,CO2,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,393572.06899999996
25,Australia,CO2,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,402159.57
26,Austria,CO2,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,62292.974
27,Austria,CO2,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,65900.423
28,Austria,CO2,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,60432.205
29,Austria,CO2,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,60788.485
