True,Country,Source,Variable,Year,Unit,Value
0,Canada,Total freshwater,Total gross abstraction,2009,Cubic metres,31513.2
1,Canada,Total freshwater,Total gross abstraction,2011,Cubic metres,33335.5
2,Canada,Total freshwater,Total gross abstraction,2013,Cubic metres,35850.3
