True,Country,Source,Variable,Year,Unit,Value
83,Iceland,Total freshwater,Total gross abstraction,2011,Cubic metres,2126.20004
84,Costa Rica,Total freshwater,Total gross abstraction,2011,Cubic metres,1066.20251
85,Poland,Total freshwater,Total gross abstraction,2011,Cubic metres,11911.0
86,England and Wales,Total freshwater,Total gross abstraction,2011,Cubic metres,7685.0
87,Slovenia,Total freshwater,Total gross abstraction,2011,Cubic metres,851.0
88,Czech Republic,Total freshwater,Total gross abstraction,2011,Cubic metres,1886.0
89,Denmark,Total freshwater,Total gross abstraction,2011,Cubic metres,733.72
90,Hungary,Total freshwater,Total gross abstraction,2011,Cubic metres,5192.97021
91,Netherlands,Total freshwater,Total gross abstraction,2011,Cubic metres,10242.0
92,Latvia,Total freshwater,Total gross abstraction,2011,Cubic metres,369.276
93,Japan,Total freshwater,Total gross abstraction,2011,Cubic metres,80897.0
94,Korea,Total freshwater,Total gross abstraction,2011,Cubic metres,19535.0
95,Luxembourg,Total freshwater,Total gross abstraction,2011,Cubic metres,46.0
96,France,Total freshwater,Total gross abstraction,2011,Cubic metres,28316.02533
97,China,Total freshwater,Total gross abstraction,2011,Cubic metres,605340.0
98,Australia,Total freshwater,Total gross abstraction,2011,Cubic metres,13702.0
99,Lithuania,Total freshwater,Total gross abstraction,2011,Cubic metres,612.07831
100,Brazil,Total freshwater,Total gross abstraction,2011,Cubic metres,79100.0
101,Slovak Republic,Total freshwater,Total gross abstraction,2011,Cubic metres,593.0
102,Mexico,Total freshwater,Total gross abstraction,2011,Cubic metres,81588.14482999999
103,Spain,Total freshwater,Total gross abstraction,2011,Cubic metres,34993.0
104,Russia,Total freshwater,Total gross abstraction,2011,Cubic metres,68652.0
105,Estonia,Total freshwater,Total gross abstraction,2011,Cubic metres,1873.87805
106,Greece,Total freshwater,Total gross abstraction,2011,Cubic metres,9934.61035
107,Israel,Total freshwater,Total gross abstraction,2011,Cubic metres,1266.0
108,Belgium,Total freshwater,Total gross abstraction,2011,Cubic metres,5296.6001
109,Denmark,Total freshwater,Total gross abstraction,2012,Cubic metres,555.4
110,Estonia,Total freshwater,Total gross abstraction,2012,Cubic metres,1630.9710699999996
111,Turkey,Total freshwater,Total gross abstraction,2012,Cubic metres,50510.0
112,Israel,Total freshwater,Total gross abstraction,2012,Cubic metres,1318.0
113,Czech Republic,Total freshwater,Total gross abstraction,2012,Cubic metres,1840.0
114,Slovenia,Total freshwater,Total gross abstraction,2012,Cubic metres,781.09998
115,England and Wales,Total freshwater,Total gross abstraction,2012,Cubic metres,8214.0
116,Belgium,Total freshwater,Total gross abstraction,2012,Cubic metres,5300.56006
117,Latvia,Total freshwater,Total gross abstraction,2012,Cubic metres,260.111
118,Russia,Total freshwater,Total gross abstraction,2012,Cubic metres,66296.0
119,Colombia,Total freshwater,Total gross abstraction,2012,Cubic metres,35987.0
120,Brazil,Total freshwater,Total gross abstraction,2012,Cubic metres,83300.0
121,Australia,Total freshwater,Total gross abstraction,2012,Cubic metres,16351.0
122,China,Total freshwater,Total gross abstraction,2012,Cubic metres,608660.0
123,Lithuania,Total freshwater,Total gross abstraction,2012,Cubic metres,668.72339
124,France,Total freshwater,Total gross abstraction,2012,Cubic metres,30007.38139
125,Netherlands,Total freshwater,Total gross abstraction,2012,Cubic metres,10783.0
126,Switzerland,Total freshwater,Total gross abstraction,2012,Cubic metres,2004.8
127,Hungary,Total freshwater,Total gross abstraction,2012,Cubic metres,5018.609860000001
128,Costa Rica,Total freshwater,Total gross abstraction,2012,Cubic metres,1246.09814
129,Slovak Republic,Total freshwater,Total gross abstraction,2012,Cubic metres,665.0
130,Iceland,Total freshwater,Total gross abstraction,2012,Cubic metres,2173.59998
131,Mexico,Total freshwater,Total gross abstraction,2012,Cubic metres,82733.71457000001
132,Greece,Total freshwater,Total gross abstraction,2012,Cubic metres,9934.91016
133,Poland,Total freshwater,Total gross abstraction,2012,Cubic metres,11478.0
134,Spain,Total freshwater,Total gross abstraction,2012,Cubic metres,34239.0
135,Korea,Total freshwater,Total gross abstraction,2012,Cubic metres,21222.0
136,Luxembourg,Total freshwater,Total gross abstraction,2012,Cubic metres,45.0
137,Japan,Total freshwater,Total gross abstraction,2012,Cubic metres,80500.0
138,Lithuania,Total freshwater,Total gross abstraction,2013,Cubic metres,443.10202
139,France,Total freshwater,Total gross abstraction,2013,Cubic metres,27828.12724
140,Canada,Total freshwater,Total gross abstraction,2013,Cubic metres,35850.3
141,Netherlands,Total freshwater,Total gross abstraction,2013,Cubic metres,10706.0
142,England and Wales,Total freshwater,Total gross abstraction,2013,Cubic metres,7865.5
143,Belgium,Total freshwater,Total gross abstraction,2013,Cubic metres,4829.04004
144,Australia,Total freshwater,Total gross abstraction,2013,Cubic metres,20133.0
145,Iceland,Total freshwater,Total gross abstraction,2013,Cubic metres,2006.49995
146,Slovenia,Total freshwater,Total gross abstraction,2013,Cubic metres,892.5
147,Mexico,Total freshwater,Total gross abstraction,2013,Cubic metres,81651.19226
148,Japan,Total freshwater,Total gross abstraction,2013,Cubic metres,80170.0
149,Luxembourg,Total freshwater,Total gross abstraction,2013,Cubic metres,43.0
150,Latvia,Total freshwater,Total gross abstraction,2013,Cubic metres,205.807
151,Russia,Total freshwater,Total gross abstraction,2013,Cubic metres,65104.0
152,Israel,Total freshwater,Total gross abstraction,2013,Cubic metres,1296.0
153,Costa Rica,Total freshwater,Total gross abstraction,2013,Cubic metres,1347.40405
154,Poland,Total freshwater,Total gross abstraction,2013,Cubic metres,11242.0
155,Korea,Total freshwater,Total gross abstraction,2013,Cubic metres,23871.0
156,Czech Republic,Total freshwater,Total gross abstraction,2013,Cubic metres,1650.0
157,Greece,Total freshwater,Total gross abstraction,2013,Cubic metres,9924.50977
158,Germany,Total freshwater,Total gross abstraction,2013,Cubic metres,25326.84766
159,Spain,Total freshwater,Total gross abstraction,2013,Cubic metres,32279.0
160,Estonia,Total freshwater,Total gross abstraction,2013,Cubic metres,1747.811
161,Denmark,Total freshwater,Total gross abstraction,2013,Cubic metres,761.74
162,Slovak Republic,Total freshwater,Total gross abstraction,2013,Cubic metres,637.0
163,Lithuania,Total freshwater,Total gross abstraction,2014,Cubic metres,388.61621
164,Australia,Total freshwater,Total gross abstraction,2014,Cubic metres,19364.0
165,Poland,Total freshwater,Total gross abstraction,2014,Cubic metres,11308.5
166,Japan,Total freshwater,Total gross abstraction,2014,Cubic metres,80067.0
167,Luxembourg,Total freshwater,Total gross abstraction,2014,Cubic metres,45.95
