True,Country,True,Source,Variable,Year,Unit,Value
69,Korea,412,Total freshwater,Total gross abstraction,2012,Cubic metres,21222.0
70,Korea,413,Total freshwater,Total gross abstraction,2013,Cubic metres,23871.0
71,Korea,414,Total freshwater,Total gross abstraction,2014,Cubic metres,25100.0
72,Luxembourg,450,Total freshwater,Total gross abstraction,2009,Cubic metres,47.0
73,Luxembourg,451,Total freshwater,Total gross abstraction,2010,Cubic metres,47.0
74,Luxembourg,452,Total freshwater,Total gross abstraction,2011,Cubic metres,46.0
75,Luxembourg,453,Total freshwater,Total gross abstraction,2012,Cubic metres,45.0
76,Luxembourg,454,Total freshwater,Total gross abstraction,2013,Cubic metres,43.0
77,Luxembourg,455,Total freshwater,Total gross abstraction,2014,Cubic metres,45.95
78,Luxembourg,456,Total freshwater,Total gross abstraction,2015,Cubic metres,44.85
79,Luxembourg,457,Total freshwater,Total gross abstraction,2016,Cubic metres,44.4
80,Mexico,487,Total freshwater,Total gross abstraction,2008,Cubic metres,79752.28044
81,Mexico,488,Total freshwater,Total gross abstraction,2009,Cubic metres,80587.00373
82,Mexico,489,Total freshwater,Total gross abstraction,2010,Cubic metres,80213.44983
83,Mexico,490,Total freshwater,Total gross abstraction,2011,Cubic metres,81588.14482999999
84,Mexico,491,Total freshwater,Total gross abstraction,2012,Cubic metres,82733.71457000001
85,Mexico,492,Total freshwater,Total gross abstraction,2013,Cubic metres,81651.19226
86,Mexico,493,Total freshwater,Total gross abstraction,2014,Cubic metres,84928.80412999999
87,Mexico,494,Total freshwater,Total gross abstraction,2015,Cubic metres,85664.2472
88,Mexico,495,Total freshwater,Total gross abstraction,2016,Cubic metres,86576.75313
89,Netherlands,541,Total freshwater,Total gross abstraction,2008,Cubic metres,10709.0
90,Netherlands,542,Total freshwater,Total gross abstraction,2009,Cubic metres,11398.0
91,Netherlands,543,Total freshwater,Total gross abstraction,2010,Cubic metres,10990.0
92,Netherlands,544,Total freshwater,Total gross abstraction,2011,Cubic metres,10242.0
93,Netherlands,545,Total freshwater,Total gross abstraction,2012,Cubic metres,10783.0
94,Netherlands,546,Total freshwater,Total gross abstraction,2013,Cubic metres,10706.0
95,Netherlands,547,Total freshwater,Total gross abstraction,2014,Cubic metres,9481.0
96,New Zealand,583,Total freshwater,Total gross abstraction,2010,Cubic metres,5200.5
97,New Zealand,584,Total freshwater,Total gross abstraction,2014,Cubic metres,9874.35
98,Poland,603,Total freshwater,Total gross abstraction,2008,Cubic metres,11365.0
99,Poland,604,Total freshwater,Total gross abstraction,2009,Cubic metres,11517.0
100,Poland,605,Total freshwater,Total gross abstraction,2010,Cubic metres,11645.0
101,Poland,606,Total freshwater,Total gross abstraction,2011,Cubic metres,11911.0
102,Poland,607,Total freshwater,Total gross abstraction,2012,Cubic metres,11478.0
103,Poland,608,Total freshwater,Total gross abstraction,2013,Cubic metres,11242.0
104,Poland,609,Total freshwater,Total gross abstraction,2014,Cubic metres,11308.5
105,Poland,610,Total freshwater,Total gross abstraction,2015,Cubic metres,11093.5
106,Poland,611,Total freshwater,Total gross abstraction,2016,Cubic metres,11153.0
107,Slovak Republic,673,Total freshwater,Total gross abstraction,2008,Cubic metres,664.0
108,Slovak Republic,674,Total freshwater,Total gross abstraction,2009,Cubic metres,628.0
109,Slovak Republic,675,Total freshwater,Total gross abstraction,2010,Cubic metres,601.0
110,Slovak Republic,676,Total freshwater,Total gross abstraction,2011,Cubic metres,593.0
111,Slovak Republic,677,Total freshwater,Total gross abstraction,2012,Cubic metres,665.0
112,Slovak Republic,678,Total freshwater,Total gross abstraction,2013,Cubic metres,637.0
113,Slovak Republic,679,Total freshwater,Total gross abstraction,2014,Cubic metres,559.08
114,Slovak Republic,680,Total freshwater,Total gross abstraction,2015,Cubic metres,573.78998
115,Slovak Republic,681,Total freshwater,Total gross abstraction,2016,Cubic metres,554.7
116,Spain,727,Total freshwater,Total gross abstraction,2008,Cubic metres,35373.0
117,Spain,728,Total freshwater,Total gross abstraction,2009,Cubic metres,36122.0
