True,Country,Year,Population
0,Australia,2008,38814.0
1,Australia,2010,158.0
2,Canada,2008,21195.0
3,Canada,2009,4379.0
4,Canada,2010,4656.0
5,Canada,2011,85.0
6,China,2008,53270.0
7,China,2009,823.0
8,China,2010,38169.0
9,Denmark,2008,17410.0
10,Denmark,2009,9762.0
11,France,2008,40486.0
12,France,2009,36197.0
13,France,2010,43083.0
14,United States,2008,670399.0
15,United States,2009,358220.0
16,United States,2010,211175.0
