True,Country,Source,Variable,Year,Unit,Value
0,Spain,Total freshwater,Total gross abstraction,2008,Cubic metres,35373.0
1,Spain,Total freshwater,Total gross abstraction,2009,Cubic metres,36122.0
2,Spain,Total freshwater,Total gross abstraction,2010,Cubic metres,35224.0
3,Spain,Total freshwater,Total gross abstraction,2011,Cubic metres,34993.0
4,Spain,Total freshwater,Total gross abstraction,2012,Cubic metres,34239.0
