True,Country,Source,Variable,Year,Unit,Value
0,Greece,Total freshwater,Total gross abstraction,2011,Cubic metres,9934.61035
1,Greece,Total freshwater,Total gross abstraction,2012,Cubic metres,9934.91016
2,Greece,Total freshwater,Total gross abstraction,2013,Cubic metres,9924.50977
3,Greece,Total freshwater,Total gross abstraction,2014,Cubic metres,9916.2998
4,Greece,Total freshwater,Total gross abstraction,2015,Cubic metres,9907.74023
