True,Country,Source,Variable,Year,Unit,Value
864,Lithuania,Fresh surface water,Public water supply,2009,Cubic metres,0.349
865,Lithuania,Fresh surface water,Public water supply,2010,Cubic metres,0.32
866,Lithuania,Fresh surface water,Public water supply,2011,Cubic metres,0.304
867,Lithuania,Fresh surface water,Public water supply,2012,Cubic metres,0.303
868,Lithuania,Fresh surface water,Public water supply,2013,Cubic metres,0.33002
869,Lithuania,Fresh surface water,Public water supply,2014,Cubic metres,0.3491
870,Lithuania,Fresh surface water,Public water supply,2015,Cubic metres,0.31575
871,Lithuania,Fresh surface water,Public water supply,2016,Cubic metres,0.31517
872,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,76.544
873,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,74.8521
874,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,63.6456
875,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,59.7074
876,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,57.0323
877,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,55.130680000000005
878,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,54.34176
879,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2015,Cubic metres,57.861869999999996
880,Lithuania,Fresh surface water,"Agriculture, forestry, fishing",2016,Cubic metres,55.78338000000001
881,Lithuania,Fresh surface water,Irrigation,2008,Cubic metres,0.384
882,Lithuania,Fresh surface water,Irrigation,2009,Cubic metres,0.2705
883,Lithuania,Fresh surface water,Irrigation,2010,Cubic metres,0.267
884,Lithuania,Fresh surface water,Irrigation,2011,Cubic metres,0.22699999999999998
885,Lithuania,Fresh surface water,Irrigation,2012,Cubic metres,0.262
886,Lithuania,Fresh surface water,Irrigation,2013,Cubic metres,0.21729
887,Lithuania,Fresh surface water,Irrigation,2014,Cubic metres,0.20736999999999997
888,Lithuania,Fresh surface water,Irrigation,2015,Cubic metres,0.23425
889,Lithuania,Fresh surface water,Irrigation,2016,Cubic metres,0.18278
890,Lithuania,Fresh surface water,Aquaculture,2010,Cubic metres,63.3
891,Lithuania,Fresh surface water,Aquaculture,2011,Cubic metres,59.42
892,Lithuania,Fresh surface water,Aquaculture,2012,Cubic metres,56.73
893,Lithuania,Fresh surface water,Aquaculture,2013,Cubic metres,54.85
894,Lithuania,Fresh surface water,Manufacturing industry,2008,Cubic metres,25.7358
895,Lithuania,Fresh surface water,Manufacturing industry,2009,Cubic metres,21.3875
